1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_00010W_A	1	3	1	2	0	0	3	4	1	5	0	3	2	1	0	4	0	0
C1_00020C_A	2117	1503	2282	1943	526	620	1643	2059	1557	2134	314	905	1595	1078	1572	2125	484	382
C1_00030C_A	44	65	76	113	11	12	42	86	45	151	2	19	66	80	70	116	11	11
C1_00040W_A	794	1941	439	545	899	1050	1264	923	315	727	301	994	1059	1474	531	475	504	684
C1_00050C_A	2	0	2	3	0	0	2	1	6	7	1	5	5	1	2	7	0	1
C1_00060W_A	8668	18111	2559	2713	3265	3355	13590	14490	1547	3274	1322	3253	13235	13686	2248	2622	3454	1904
C1_00070W_A	4084	9312	2023	1098	1981	2585	6301	6437	1350	1671	1219	2911	6092	6568	1690	1673	2269	1869
C1_00080C_A	753	1856	520	1079	244	368	1023	1613	383	1390	122	385	1097	1346	599	1173	260	295
C1_00090W_A	33	132	50	71	21	46	71	91	31	120	9	28	89	111	34	77	28	21
C1_00100C_A	925	2353	500	623	271	417	1414	1669	309	845	136	439	1250	1459	376	816	278	254
C1_00110W_A	6986	16584	2740	3101	2331	3374	10869	11270	1941	4472	1534	3525	8962	9349	2523	3816	2671	2327
C1_00120C_A	1442	2728	563	607	507	671	1857	2508	462	861	295	794	1913	1999	445	599	525	457
C1_00130C_A	1507	2423	1120	672	640	577	1987	1994	739	947	414	705	1571	1576	945	915	720	445
C1_00140W_A	3209	4799	2658	1966	1221	1365	4324	4783	1638	2895	904	1773	4362	4196	2459	1995	1746	1323
C1_00150C_A	202	880	780	1464	120	92	543	463	520	2051	64	151	353	553	664	1953	127	118
C1_00160C_A	3817	23277	3280	6655	2215	6947	8167	17551	3429	9332	3782	8238	11133	9476	3008	9659	3344	7287
C1_00170W_A	1284	1191	19	55	36	287	1444	1864	19	102	57	233	1175	1055	42	29	45	187
C1_00180W_A	40000	95977	10244	17516	15302	25173	59743	87883	10225	21054	16955	30192	60794	62049	10115	20724	15355	25687
C1_00190C_A	13	5	418	1609	2	2	16	35	420	1813	3	5	15	15	540	1607	2	3
C1_00200C_A	71	131	121	124	30	37	68	120	80	134	52	56	52	51	67	168	40	44
C1_00210C_A	6175	7404	2371	3355	1594	1817	7110	8447	2135	4064	1761	2672	6428	5882	2223	3208	2116	1762
C1_00220W_A	269	2451	378	563	124	171	1216	655	215	581	102	239	853	1368	215	489	201	263
C1_00230C_A	659	1240	792	1219	256	271	963	1034	626	1698	153	307	759	771	759	1530	232	211
C1_00270W_A	699	550	1184	553	1903	740	1682	730	911	1099	1331	874	1560	374	1592	666	1915	514
C1_00280C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00290W_A	2205	1585	9857	2932	4774	1601	4413	2380	8223	4311	3373	1858	3595	1167	10826	3902	4288	1194
C1_00310W_A	884	489	1353	750	504	296	1181	723	971	1157	331	348	2264	1198	1408	994	551	217
C1_00320W_A	475	736	357	212	286	224	719	632	338	212	282	316	588	588	293	266	356	229
C1_00330C_A	679	1311	516	698	272	381	993	1251	464	818	326	523	846	1021	563	762	302	419
C1_00340W_A	732	2041	787	1059	482	952	1207	1456	728	1121	460	1065	1177	1165	639	1245	447	862
C1_00350C_A	4223	13104	5636	26991	2394	4883	10313	7961	5652	29636	3091	5256	4004	2736	7246	28377	2789	4245
C1_00360W_A	993	1559	563	650	273	263	1426	808	410	740	180	332	541	423	445	699	239	203
C1_00370W_A	56	131	44	41	24	49	78	89	44	58	18	45	72	88	45	91	23	39
C1_00380C_A	756	1595	1013	1991	477	502	1082	1488	891	2222	389	671	1103	1302	1244	1955	489	534
C1_00390W_A	4831	19209	6728	41650	1375	3084	8979	18997	5291	50604	1114	2838	10514	13444	7572	37468	1777	2662
C1_00400W_A	1490	3738	2411	2208	880	1407	2717	2364	1920	2761	1182	2025	1617	1781	2416	2866	1208	1361
C1_00410C_A	365	393	1717	1062	340	256	374	599	1229	1537	311	279	733	641	1650	1194	369	202
C1_00420W_A	1175	1673	1311	893	578	477	1285	2227	1053	974	629	902	1507	1785	1101	853	747	622
C1_00430W_A	630	1199	1130	1586	234	236	922	1067	785	1919	202	354	729	781	1140	1696	328	285
C1_00440W_A	3266	4525	1923	1805	1895	2071	4608	4571	1835	2182	1924	2681	4100	3321	2057	1943	2343	1894
C1_00450C_A	1485	3057	848	827	488	939	2059	2893	836	903	624	873	2272	2451	745	1017	410	824
C1_00460W_A	1885	3505	1775	2329	509	1167	2028	3464	1757	2546	588	1298	1953	2732	1767	2543	428	1044
C1_00470C_A	502	1049	573	647	303	467	794	839	442	878	277	471	738	683	540	747	319	321
C1_00480C_A	3310	6770	1819	1590	1353	1728	4423	5982	1509	2075	1038	2192	4337	4389	1572	1800	1281	1469
C1_00490C_A	1125	1430	670	527	580	530	1262	1470	724	756	784	721	1596	1482	878	772	588	683
C1_00500C_A	1015	1836	490	281	1199	1410	1573	1006	468	464	1241	1982	1494	1690	539	420	1242	1571
